event_id,event_brand,event_year,event_name,event_date,event_country,event_city,event_url
1736,Battle Born Ii,2022,Battle Born Ii,2022-05-27,United States of America,Nevada,/events/details/1736/
1714,Helsinki Longsword Open,2022,Helsinki Longsword Open 2022,2022-05-20,Finland,Helsinki,/events/details/1714/
1706,Istrovstvi Cr V Sermu Dlouhym Mecem,2022,Mistrovstvi Cr V Sermu Dlouhym Mecem,2022-05-15,Czechia,Pardubice,/events/details/1706/
1709,Nederlandse Hema Kampioenschappen 2022: Evenement,2022,Nederlandse Hema Kampioenschappen 2022: Evenement 1,2022-05-07,Netherlands,Zwolle,/events/details/1709/
1711,Ork,2022,Cork 2022,2022-05-07,Ireland,Cork,/events/details/1711/
1713,The Winter's Flail,2022,The Winter's Flail 2022,2022-05-07,United Kingdom,Southampton,/events/details/1713/
1712,Scherma Medievale Nella Citta Ideale,2022,Scherma Medievale Nella Citta Ideale 2022,2022-05-07,Italy,Marche,/events/details/1712/
1705,Asaslaget,2022,Vasaslaget 2022,2022-05-07,Sweden,Uppsala,/events/details/1705/
1704,Prazsky Argument,2022,Prazsky Argument 2022,2022-04-30,Czechia,Prague,/events/details/1704/
1751,Basilisk Challenge Basel,2022,Basilisk Challenge Basel 2022,2022-04-30,Switzerland,Basel,/events/details/1751/
1799,Icebreaker Open,2022,Icebreaker Open 2022,2022-04-29,United States of America,Minnesota,/events/details/1799/
1716,Sydney Super Series,2022,Sydney Super Series 2022,2022-04-24,Australia,New South Wales,/events/details/1716/
1708,Ag Open,2022,Ag Open 2022,2022-04-23,United States of America,Michigan,/events/details/1708/
1707,Green Chapel Tourney,2022,Green Chapel Tourney 2022,2022-04-23,United States of America,Nebraska,/events/details/1707/
1715,Spring Fling,2022,Spring Fling 2022,2022-04-16,United States of America,Florida,/events/details/1715/
1748,By The Sword,2022,By The Sword 2022,2022-04-10,United Kingdom,Guildford,/events/details/1748/
1701,April Fools,2022,April Fools 2022,2022-04-09,Italy,Torino,/events/details/1701/
1694,Wolf Call,2022,Wolf Call 2022,2022-04-09,United Kingdom,Lincoln,/events/details/1694/
1689,Krkavci Jarni Fechtik,2022,Krkavci Jarni Fechtik 2022,2022-04-03,Czechia,Prague,/events/details/1689/
1693,Tournament Of Knightly Arts,2022,Tournament Of Knightly Arts 2022,2022-04-02,United States of America,Missouri,/events/details/1693/
1702,Iluro Pugnare,2022,Iluro Pugnare 2022,2022-03-26,Spain,Catalunya,/events/details/1702/
1697,Feder League : Fechtberg,2022,Feder League : Fechtberg 2022,2022-03-19,Poland,Wojewodztwo Slaskie,/events/details/1697/
1674,Zilinsky Kumst V,2022,Zilinsky Kumst V,2022-03-12,Slovakia,Zilina,/events/details/1674/
1695,Idwinter Armizare Open,2022,Midwinter Armizare Open 2022,2022-03-12,United States of America,Illionois,/events/details/1695/
1684,Schnegel Fechten,2022,Schnegel Fechten 2022,2022-03-12,United States of America,Texas,/events/details/1684/
